Model,Horizon,MAE_kW,RMSE_kW,R2
"Linear Regression (1-min ahead, leakage-free)",1 min,0.08335733221547978,0.21765957423552168,0.9397737072935077
Random Forest (1-min ahead),1 min,0.08047038800140206,0.21530096301857213,0.9410718883077717
Linear Regression (60-min ahead),60 min,0.5440564003303306,0.7747260387501728,0.23705690471953977
Random Forest (60-min ahead),60 min,0.49877694898832386,0.7423396704330424,0.29951122464124713
"XGBoost (60-min ahead, 12 features)",60 min,0.4894621814426221,0.7160485800064772,0.34825033488730084
"XGBoost (60-min ahead, 17 features) — FINAL",60 min,0.48604523212496553,0.7111104588565388,0.3572087246533435
